,Hotels,Prices,Descriptions,Full_Descriptions
20,Leonardo Hotel Barcelona Gran Via,"€ 1,457",Multiple bed types,"This spacious and modern hotel is located in Eixample district, built in 2004, the Leonardo Hotel Barcelona Gran Via, features wide-open public spaces covered in marble.

Rooms include flat-screen TV, Wifi, safebox, desk, minibar, private bathrooms with toiletries.

A good location for tourism, you can easily walk to the Gothic Quarter and Ramblas, or up to the attractions of Montjuic. The city’s major business districts are also nearby.

Rooms include satellite TV, free Wi-Fi access, air conditioning and a bathroom with free toiletries.

Parking is available on site at an additional cost."
21,Catalonia Park Putxet,"€ 1,094",Beds: 1 double or 2 singles,"Featuring a sunroof terrace with a pool and views over Barcelona, Catalonia Park Putxet offers tranquil rooms and a modern fitness centre onsite. There is free WiFi available throughout.

The Park Putxet has simple, bright décor. Each air-conditioned room comes with a mini fridge with complimentary water, a satellite TV and a fully equipped bathroom with a hairdryer.

You can enjoy a varied buffet breakfast with Show Cooking. Light meals are prepared at the hotel snack bar; and room service, including sushi room service, is available.

The hotel is located in a residential area. There is a wide selection of cafés, bars and restaurants in the neighbouring district of Gràcia, which is just 15 minutes’ walk from the hotel. Gaudi's famous Park Guell is just 600 metres away. The closest metro station is Lesseps, 600 metres away."
22,Hotel Raval House,"€ 1,355",2 single beds,"Well set in Barcelona, Hotel Raval House provides air-conditioned rooms, a seasonal outdoor swimming pool, free WiFi and a garden. 2.5 km from Sant Sebastian Beach and 2.5 km from Sant Miquel Beach, the property offers a terrace and a bar. The property is non-smoking and is located 2.7 km from Barceloneta Beach.

At the hotel, every room comes with a wardrobe. With a private bathroom equipped with a shower and a hairdryer, certain units at Hotel Raval House also provide guests with a city view. All units at the accommodation are equipped with a flat-screen TV with satellite channels and a safety deposit box.

Speaking Catalan, English, Spanish and French at the 24-hour front desk, staff are willing to help at any time of the day.

Popular points of interest near Hotel Raval House include Boqueria Market, Passeig de Gracia and Plaça Catalunya. The nearest airport is Barcelona El Prat Airport, 12 km from the hotel."
23,Barcelona House,"€ 1,490",2 single beds,"Barcelona House Hotel is in Barcelona’s Gothic Quarter, 80 metres from the Ramblas. The hotel offers modern, air-conditioned rooms with wooden floors, free wired internet and a flat-screen TV.

Barcelona Cathedral and the Boquería Market are 500 metres away. The port and Maremagnum Shopping Centre are a 10-minute walk from the hotel. You can walk to Barceloneta Beach in 20 minutes or take a bus.

Rooms are also heated and have a safe. The private bathrooms come with a hairdryer.

There are many bars, restaurants and galleries near the Barcelona House. The Picasso Museum and fashionable Borne district are a 10-minute walk away.

There is a 24-hour front desk and luggage storage is available."
24,Hotel Turin Barcelona,"€ 1,458",1 double bed,"Hotel Turin Barcelona is located just 50 meters from the famous Ramblas in Barcelona. It offers free Wi-Fi, 24-hour reception, free luggage storage and a lovely sun terrace. There is free water, coffee and tea in the lobby lounge.

It features stylish rooms with wooden floors and furnishings. They are equipped with a private bathroom, hairdryer, safe, Smart TV and minibar.

The Turin Hotel is located just 150 meters from the Gothic District, 3 minutes from the Liceu metro and a 20-minute walk from the beach. In the area there are several restaurants, shops and supermarkets open until late.

The hotel offers a fabulous breakfast buffet. Most of the food items come from La Boquería Market, located 2 minutes' walk away."
25,Sallés Hotel Pere IV,"€ 1,959",Multiple bed types,"Pere IV is situated in the Poble Nou District, 10 minutes’ walk from the lively Port Olimpic area and Barcelona's beaches. This hotel features a free spa, free Wi-Fi and 24-hour reception.

Each of the spacious rooms comes with a minibar, and a flat-screen TV with satellite channels.

The à la carte Garum Restaurant offers Mediterranean cuisine. The hotel serves a daily, buffet breakfast.

Guests enjoy free access to the Pere IV's spa, which includes a Finnish sauna, a hammam, indoor pool and sensation showers.

The Pere IV is a short walk from the beach and the new marina. Nearby Bogatell Metro Station offers easy access to the beach and the city centre, which can both be reached within 15 minutes."
26,Catalonia Port,"€ 1,814",Beds: 1 double or 2 singles,"Situated in Barcelona’s Gothic Quarter, Hotel Catalonia Port has a modern gym and a sun terrace with a small seasonal outdoor pool. Each air-conditioned room has free WiFi, a flat-screen TV with satellite channels.

The hotel’s contemporary El Racó del Port restaurant opens from Monday to Saturday, serving seasonal Mediterranean cuisine. A varied buffet breakfast, available until 12:00 at the weekends, is offered in the dining room, and there is also a lobby bar.

The Catalonia Port Hotel offers stylish rooms with hardwood floors. They all include a safe, a minibar and a private bathroom.

Catalonia Port is just 250 metres from the bottom of the famous Las Ramblas, and Port Vell Harbour is 400 metres away. Drassanes Metro Station is a 5-minute walk away."
27,SM Hotel Teatre Auditori,"€ 1,278",Beds: 1 double or 2 singles,"SM Hotel Teatre Auditori is located opposite the Catalan National Theatre, close to Glòries and Monumental Metro Stations. This stylish hotel features rooms with satellite TV.

The Auditori has bright, attractive décor. Each air-conditioned room has a desk and a safety deposit box.

Breakfast is served in the hotel café.

Staff at the 24-hour reception can provide information on Barcelona’s attractions, as well as arrange bicycle and car rental.

Gaudí’s Sagrada Familia is just 15 minutes’ walk from the hotel, while Glòries Metro is just 4 stops from Plaza de Catalunya and Las Ramblas."
28,H10 Casanova,"€ 1,703",Beds: 1 double or 2 singles,"The chic H10 Casanova Hotel is centrally located on Barcelona’s Gran Via, a 10-minute walk from Plaza Catalunya and the Rambla. There is a garden spa with whirlpool and steam room.

Featuring contemporary boutique-style décor, the H10 Casanova offers air-conditioned rooms with a satellite TV and free Wi-Fi. There is a minibar and safe, and the modern private bathroom comes with a hairdryer and amenities. Room service is also available.

The on-site Despacio Spa Centre has a Vichy shower, a  steam bath and hot tub; massages as well as facial and body treatments are available on prior request according to the price list.

The hotel has an à la carte restaurant and a trendy café-bar. There is a 24-hour reception, and you can hire a car or bicycle from the tour desk.

Urgell and Universitat Metro Stations are 300 metres away. You can walk to Paseo de Gracia’s designer shops in 10 minutes."
29,TWO Hotel Barcelona by Axel 4* Sup- Adults Only,"€ 1,380",1 large double bed,"Offering a rooftop pool with a large sun terrace, TWO Hotel Barcelona by Axel is located in the heart of the gay district of Barcelona, 2 km from Barceloneta Beach.

The hetero-friendly hotel offers on-site private parking. There is also a  24-hour reception and guests can get information on the gay scene and the city at the on-site tour desk. On the rooftop guests will also find the Sky bar, gym, steam bath and a massage room.

Each room here will provide you with air conditioning and a minibar. Featuring a shower, private bathroom also comes with a hairdryer. A safety deposit box and a universal phone charger are also provided.

Guests can sample a drink at the rooftop bar, whilst taking in stunning city views or enjoy the delicious cocktails served in the Lounge Bar. A buffet breakfast is available and free high-speed WiFi access is provided throughout.

Staff can give information about the surrounding area, which is known as ""Gayxample"" because of its lively gay nightlife.

The hotel is 2 minutes' walk from Rocafort Metro Station and Plaça d'Espanya, with direct buses to Barcelona Airport, is a 10-minute walk away. Paral·lel, with bars, restaurants, clubs and theatres is 1.3 km from TWO Hotel Barcelona by Axel."
